ApplicationName,Category,DetailPage,PrivacyPolicyLink,State
Linux 终端命令行,学习教育,com.anguomob.linux.cmd,https://doc.anguomob.com/web/#/8?page_id=261,success
Flutter 教程,学习教育,com.anguomob.flutter,https://doc.anguomob.com/web/#/8?page_id=262,success
元素周期表,学习教育,com.anguomob.periodic.table,https://doc.anguomob.com/web/#/8?page_id=269,success
优选志愿,学习教育,io.youxuan.nemt,https://www.youxuan888.com/private.html,success
有知有行,学习教育,com.zxunity.android.yzyx,https://youzhiyouxing.cn/agreements/privacy,success
英语四级,学习教育,com.ikaoshi.english.cet4,http://www.mikaoshi.cn/paper/index/page/category/3/classid/4002.html,success
升学e网通,学习教育,com.mistong.ewt360,https://web.ewt360.com/helpCenterPc/privacypolicy/privacypolicy.html,success
易练教练,学习教育,com.kfzs.app.driving.coach,http://www.yilian.run/#/user-agreement?code=4,success
学车不,学习教育,com.bjcsxq.chat.carfriend,http://m.xuechebu.com/xuechebu/yinsixieyi.html,success
MOJiTest-日语能力考试JLPT专用,学习教育,com.mojitec.mojitest,https://www.shareintelli.com/mojitest-privacy-policy/,success
成语拼拼拼,学习教育,com.bruce.bestidiom,http://www.aimengtech.com/bestidiom/policy/privacy,success
练字棒棒-硬笔书法智能练字,学习教育,com.hdkj.zbbai,https://aih5.zibangbang.com/privacy.html ,success
成语爱挑战,学习教育,com.cyatz.cd,https://commerce.ibestfanli.com/scenead-frontend/qa/policy?prdid=250300&channel=68,success
在理,学习教育,com.uwa.mproduct,https://www.uwa4d.com/#app-privacy,success
小吉背单词,学习教育,com.gaodun.apps.reciteword,https://s.gaodunwangxiao.com/static-resource/privicay/privicay.html?appType=superapp&platformType=Android,success
