ApplicationName,Category,DetailPage,PrivacyPolicyLink,State
小鹿中医-养生调理,医疗健康,com.xiaolu.patient,https://s.xiaoluyy.com/xiaoluyyapp/agreement/legal.html,success
上海助医,医疗健康,com.lihuan.zhuyi,https://shzy.91985.com/zhuyistaticpage/privacy.html,success
基因宝,医疗健康,com.laso.lasogene,https://static.genebox.cn/static/privacy.html,success
石榴云诊,医疗健康,com.qilek.doctorapp,http://7shiliu.7lk.cn/doctorh5/#/setting/privacyPolicy,success
看名医,医疗健康,com.myjt.mm,https://51myjt.com/yy-user/privacyTerms.html,success
安果月经,医疗健康,com.anguomob.menstruation,https://doc.anguomob.com/web/#/8?page_id=149,success
E企健康,医疗健康,com.jd.jdhenterprise,https://hlc.m.jd.com/article/?id=321518&showhead=no&autojump=no,success
妙手医生,医疗健康,com.yuanxin.perfectdoc,http://ucenter.miaoshou.com/public/privacy-agreement,success
心理咨询,医疗健康,com.cxzapp.xinlizixun,https://m.ydl.com/Protol/yinsi,success
易约到家,医疗健康,com.android.yiyue,https://yiyuegohome.com/massage/page/sysconfig/view.html?id=1,success
爱牵挂care,医疗健康,com.baiyi.watch.aqgs2,http://wap.aiqiangua.com/appInstructionsText/user_privacy.htm,success
月野兔运动,医疗健康,com.jiake365.yyt,http://originyyt.jiake365.com/doc.html ,success
健康e家,医疗健康,com.mandala.healthserviceresident,https://www.wxhealth.net:8241/privacy.html,success
麒盛数据,医疗健康,com.keesondata.android.swipe.childrennurse,http://ins-mobile.api.keesondata.com/nurse/privacy.html,success
百洋健康药房,医疗健康,com.baiyjk.app,https://h5.baiyjk.com/pages/privacyPolicy/privacyPolicy,success
健康之路医务版,医疗健康,com.yihu.doctor,https://uc.yihu.cn/user_protocol,success
牙医助理,医疗健康,com.haoyayi.topden,http://51haoyayi.com/privacy.html,success
觅健,医疗健康,cn.els.bhrw.app,https://m.mijian360.com/User/privacy.html,success
天使医生pro,医疗健康,com.jumper.fhrinstrumentspro,https://h5.jumper-health.com/#/newVersionPrivacy,success
健康之路,医疗健康,com.yihu.medical,https://kx.yihu.cn/app/privacy/html/index.html,success
北京儿童医院,医疗健康,com.huaai.chho,https://ftweb.xiaoerfang.cn/article/20022,success
分子+,医疗健康,com.cq.gaopeng.stemcells,https://fenzijia.com/SC_xieyi/android/private.html,success
