ApplicationName,Category,DetailPage,PrivacyPolicyLink,State
微队,体育运动,cn.microteam.vsteam,https://www.microteam.cn/vsteam/upload/images/privacy/privacy_cn.html,success
捷报体育-足球篮球赛事预测分析,体育运动,com.jiebaoslim,http://api.nowscore.com/account/privacy,success
起身运动,体育运动,com.cvte.qishen,https://marketing.gymgest.com.cn/marketing/index.html#/article/privacy-policy,success
EufyLife,体育运动,com.oceanwing.smarthome,https://help.eufylife.com/policy/privacy?language=zh,success
球迷帮,体育运动,com.ronghang.liteav.sports,https://h5.1024ball.com/dev/html/static/privacy.html,success
红杉直播,体育运动,com.hupu.tv.player.app,https://docs.qq.com/doc/DR1l1alFmakpPbGtK,success
运动角,体育运动,com.yundongjiao.lepao,https://www.sportcorner.cn/lpdist/privacy-policy.html,success
全手球,体育运动,com.diandi.future_star,http://res.handball.org.cn/res/contract/yinsi.html,success
球天下-足球比分分析,体育运动,com.qtx.qtxty,https://www.qtx.com/about/privacy,success
动骑,体育运动,com.android.dk.simple,https://apis.520sport.cn/dqSportPrivacyPolicy/index_privacy.html,success
健康运动计步器,体育运动,com.yundong.jibuqid,https://www.zdwx.vip/yduserAgreement.html,success
网易红彩,体育运动,com.netease.lotterynews,https://hongcai.163.com/html/privacypolicy.html,success
Goal,体育运动,com.firewing.goalfitness,https://www.10town.com/privacy_policy.html,success
小小运动家,体育运动,com.magic.ball.sport,https://moqiu.tech/mq_privacy_protocol.html,success
MERIT超燃脂,体育运动,uni.UNIE7FC6F0,https://console.merach.com/webview/privacy-clause/index.html,success
PP体育,体育运动,com.pplive.androidphone.sport,http://csfs.suning.com/privacy.html#/detail?channelId=158196375796070455&name=PP体育隐私政策&navName=隐私政策&showHead=1,success
功夫者,体育运动,gfz.kf.com.kungfuzhe,http://www.gongfuzhe.com/agreement/privacyagreement/,success
我的钓场,体育运动,com.njpl.fishplace,https://prod.66fishing.com/h5/h5page/?id=20,success
趣球圈,体育运动,com.weiqiuxm,http://api.yililive.com/h5_v6/pages/agreement/privacy,success
人人体育,体育运动,com.renrenyundongxm,http://www.yszcdz.com:8090/docs/renrentiyuys.html,success
CO-FIT,体育运动,com.sma.smartv3.co_fit,https://api.iot-solution.net/web/help/webs/privacy.html?app=CO-FIT,success
滑板圈,体育运动,com.yumfee.skate,http://www.jixianxueyuan.com/UseProtocol.html,success
运动追踪,体育运动,com.anguomob.sport.track,https://doc.anguomob.com/web/#/8?page_id=268,success
Zepp,体育运动,com.huami.watch.hmwatchmanager,https://upload-cdn.huami.com/tposts/8174,success
彩虹步数,体育运动,com.caihong.stepnumber,https://ai.quwanjibu.com/index/article.do?type=5&qudao=31,success
欢乐计步宝,体育运动,a.com.happy.step,http://cdn.feigedj.cn/walk/h5/user_privacy_17.html,success
体鱼运动-学生儿童亲子运动助手,体育运动,com.tyfit.cn,http://appapi.tyfit.cn/static/2.txt,success
走路达人,体育运动,com.juying.zldr,https://zldr.my91app.com/yinsi/index.html,success
数字心动,体育运动,com.chinaath.szxd,https://race.shuzixindong.com/#/privacyPolicy,success
步步盈,体育运动,com.bbwy.base.app,http://3wmob.com/bbyPrivacyPolicy.html,success
微队,体育运动,cn.microteam.vsteam,https://www.microteam.cn/vsteam/upload/images/privacy/privacy_cn.html,success
捷报体育-足球篮球赛事预测分析,体育运动,com.jiebaoslim,http://api.nowscore.com/account/privacy,success
起身运动,体育运动,com.cvte.qishen,https://marketing.gymgest.com.cn/marketing/index.html#/article/privacy-policy,success
EufyLife,体育运动,com.oceanwing.smarthome,https://help.eufylife.com/policy/privacy?language=zh,success
球迷帮,体育运动,com.ronghang.liteav.sports,https://h5.1024ball.com/dev/html/static/privacy.html,success
红杉直播,体育运动,com.hupu.tv.player.app,https://docs.qq.com/doc/DR1l1alFmakpPbGtK,success
运动角,体育运动,com.yundongjiao.lepao,https://www.sportcorner.cn/lpdist/privacy-policy.html,success
全手球,体育运动,com.diandi.future_star,http://res.handball.org.cn/res/contract/yinsi.html,success
球天下-足球比分分析,体育运动,com.qtx.qtxty,https://www.qtx.com/about/privacy,success
动骑,体育运动,com.android.dk.simple,https://apis.520sport.cn/dqSportPrivacyPolicy/index_privacy.html,success
健康运动计步器,体育运动,com.yundong.jibuqid,https://www.zdwx.vip/yduserAgreement.html,success
网易红彩,体育运动,com.netease.lotterynews,https://hongcai.163.com/html/privacypolicy.html,success
Goal,体育运动,com.firewing.goalfitness,https://www.10town.com/privacy_policy.html,success
小小运动家,体育运动,com.magic.ball.sport,https://moqiu.tech/mq_privacy_protocol.html,success
MERIT超燃脂,体育运动,uni.UNIE7FC6F0,https://console.merach.com/webview/privacy-clause/index.html,success
PP体育,体育运动,com.pplive.androidphone.sport,http://csfs.suning.com/privacy.html#/detail?channelId=158196375796070455&name=PP体育隐私政策&navName=隐私政策&showHead=1,success
功夫者,体育运动,gfz.kf.com.kungfuzhe,http://www.gongfuzhe.com/agreement/privacyagreement/,success
我的钓场,体育运动,com.njpl.fishplace,https://prod.66fishing.com/h5/h5page/?id=20,success
QueenRun,体育运动,com.whllzx.queue,https://app.queenrun.cn/privacy/,success
袋鼠运动,体育运动,com.roo.fitness.user,https://www.daishuyundong.com/about/privacy.html,success
运动跑步,体育运动,com.juhe.jbdd,https://yinsi.juhe62.com/privacyPolicy/com.juhe.jbdd/运动跑步/,success
UP运动,体育运动,com.huibo.sportsapp,https://upsports.cn:1443/webapp/#/Privacy,success
AI练席,体育运动,net.ailianxi.football,https://www.ailianxi.net/privacyPolicy.html,success
RDFit,体育运动,com.rd.tengfei.bdnotification,http://www.rundefit.com/static/user_privacy_ZH.htm,success
UOIN,体育运动,com.irskj.aiyou,https://ayfile.aiyoukit.com/files/android/privacy_policy.html,success
HaWoFit,体育运动,com.huawo.hawofit,https://test.huawo-wear.com/web/html/privacy?locale=zh,success
训记,体育运动,com.trainnote.rn,https://xunji.implements.io/xunji_android_policy,success
悦动圈,体育运动,com.yuedong.sport,https://d.51yund.com/yd_privacy.html,success
Fitdays,体育运动,cn.fitdays.fitdays,https://online.fitdays.cn/app/privacy?language=zh_hans&source=0,success
校体云—小猴运动,体育运动,com.zjwh.xiaoticloud,https://h5.gxapp.iydsj.com/gxapp/privacy_policy/xtyPolicy.html,success
育能运动,体育运动,com.zhcc.family,https://saas.gebpm.com/file/userPolicy/StudentPrivacyPolicy.html,success
鹿卫士,体育运动,com.luhong.locwith,http://app.luhongkj.com:8820/doc/privacyimg.html,success
时分计步,体育运动,com.xmbranch.shifen,https://commerce.ibestfanli.com/scenead-frontend/qa/policy?prdid=150135,success
广场舞多多,体育运动,com.duoduo.oldboy,https://main.gcwduoduo.com/bama/private_policy/gcw_hw.html,success
记步助手,体育运动,banana.monkey.stepassistantthird,https://nbweb.qufenqian.vip/page/help/privacy_protocol?_appid=203089001,success
乐刻店管家,体育运动,com.lefit.merchant,https://h5.leoao.com/render/prod/d/h/v3xy9gi/QQvtQErCaF.html,success
走路多宝,体育运动,happy.cat.walkingtreasurenext,https://nbweb.qufenqian.vip/page/help/privacy_protocol?_appid=203072001,success
怪瘦轻断食,体育运动,weightloss.fasting.tracker.cn,https://ef.aiotoolbox.com.cn/protocol/Privacy_Policy.html,success
极光走路,体育运动,panda.monkey.aurorawalk,https://nbweb.qufenqian.vip/page/help/privacy_protocol?_appid=203076001,success
惠运动,体育运动,com.cashwalk,https://page.sports.huadongmedia.com/h5/product/webapp/privacy.html,success
健康守护者,体育运动,com.quliang.jkshz,https://jkshz.qulianginc.com/yinsi/index.html,success
小虎计步,体育运动,com.kiigames.xiaohujibu.xhjb,https://home.haoduapp.com/col.jsp?id=226,success
冠冠体育,体育运动,com.guanguantiyu.ggty,https://paperairplanefly.github.io/docs/privacy_files/ggty/xiaomi/privacy.html,success
建融慧动,体育运动,com.huhhotsports.phone,https://www.huhhotsports.com/common/about.html?about_index=0,success
全云动,体育运动,cloud.runball.bazu,https://hisport.cloud/privacy,success
我奥篮球,体育运动,net.woaoo,http://m.lanqiu.woaoo.net/explain?type=yinsi,success
中国冰雪,体育运动,com.shhr.chinawinter,https://h5v2.zhongguobingxue.cn/pages/bei/second,success
计步来宝,体育运动,bamboo.panda.stepcountbaby,https://nbweb.qufenqian.vip/page/help/privacy_protocol?_appid=203093001,success
